year,total_obs,with_compustat,coverage_pct
1973,7933,0,0.0
1975,7482,6395,85.47179898422881
1976,14606,12552,85.93728604683007
1977,14287,12335,86.33722964933156
1978,14199,12269,86.40749348545673
1979,13921,12073,86.72509158824798
1980,13762,12037,87.46548466792618
1981,13787,12112,87.8508740117502
1982,13574,11982,88.27169588919995
1983,13337,11722,87.89083002174402
1984,13394,11800,88.09914887262954
1985,13659,12055,88.25682700051249
1986,14333,12572,87.71366775971534
1987,14356,12692,88.40902758428531
1988,14053,12623,89.82423681776133
1989,13773,12549,91.11304726639077
1990,13703,12591,91.88498868860833
1991,14000,13024,93.02857142857142
1992,14224,13343,93.8062429696288
1993,14504,13633,93.99476006618863
1994,15305,14326,93.60339758248938
1995,16421,15298,93.16119602947445
1996,17248,16014,92.84554730983302
1997,17446,16167,92.66880660323284
1998,17153,15891,92.64268641054043
1999,17111,15896,92.89930454093857
2000,17111,15907,92.96359067266671
2001,17178,16010,93.2006054255443
2002,16480,15430,93.62864077669903
2003,15929,14978,94.0297570468956
2004,15814,14927,94.3910459086885
2005,15218,14394,94.58535944276515
2006,14635,13822,94.4448240519303
2007,14167,13391,94.52248182395708
2008,13842,13062,94.36497615951453
2009,14297,13490,94.35545918724208
2010,14465,13693,94.66297960594538
2011,14202,13464,94.80354879594424
2012,14256,13543,94.99859708193041
2013,14426,13728,95.16151393317621
2014,14456,13786,95.36524626452685
2015,14696,14048,95.59063690800218
2016,14865,14249,95.8560376723848
2017,14814,14193,95.80801944106926
2018,14824,14238,96.04695089044792
2019,15023,14456,96.22578712640617
2020,15441,14898,96.4833883815815
2021,16001,15447,96.53771639272546
2022,16739,16139,96.41555648485573
2023,16858,16261,96.45865464467909
2024,16515,15966,96.6757493188011
