year,n_start,n_after_size,n_dropped_price,n_dropped_history,n_dropped_cap,n_final,nyse_p35_threshold
1973,5351,1326,0,1326,0,0,53233.55
1974,5013,1295,0,1295,0,0,43584.424999999996
1975,4844,1275,0,23,0,1252,53461.99999999997
1976,4820,1227,0,23,0,1204,63996.5375
1977,4841,1238,1,20,0,1217,75611.41875
1978,4710,1215,0,18,0,1197,87816.4875
1979,4645,1184,0,20,0,1164,102088.38749999997
1980,4655,1202,0,30,0,1172,106402.04999999999
1981,5020,1223,0,55,0,1168,143813.59999999998
1982,5119,1183,0,47,0,1136,115216.79999999997
1983,5265,1212,0,82,0,1130,212064.26249999998
1984,5864,1214,0,69,0,1145,174211.69999999992
1985,5817,1268,0,75,0,1193,187918.62499999997
1986,5920,1332,1,70,0,1261,221460.39375
1987,6319,1332,1,118,0,1213,232118.76249999998
1988,6248,1305,0,101,0,1204,207034.25
1989,5983,1222,0,64,0,1158,240880.72499999995
1990,5881,1257,0,79,0,1178,232710.7125
1991,5739,1289,0,103,0,1186,222025.27499999997
1992,5929,1347,0,136,0,1211,258079.31874999998
1993,6142,1407,0,175,0,1232,320098.49374999997
1994,6722,1514,0,168,0,1346,313936.7875
1995,6841,1610,0,164,0,1446,342995.5249999999
1996,7276,1739,0,220,19,1500,417198.37499999994
1997,7543,1782,0,236,46,1500,469923.2124999999
1998,7467,1878,0,230,148,1500,513968.0
1999,6875,1882,0,262,120,1500,474547.9374999999
2000,6689,2121,0,415,206,1500,440856.35
2001,6057,1673,0,190,0,1483,567697.995
2002,5491,1429,0,89,0,1340,641474.6155
2003,5045,1411,0,63,0,1348,627328.0
2004,4885,1387,0,59,0,1328,872045.092
2005,4829,1336,0,73,0,1263,1056625.4849999999
2006,4756,1332,0,91,0,1241,1166708.91
2007,4691,1278,0,91,0,1187,1394796.3199999991
2008,4532,1282,0,81,0,1201,968171.8209999998
2009,4199,1283,1,54,0,1228,683058.4849999996
2010,4059,1274,1,45,0,1228,873419.8799999997
2011,3901,1264,0,73,0,1191,1197024.851
2012,3759,1308,0,75,0,1233,1019380.3954999998
2013,3675,1299,0,82,0,1217,1240967.064
2014,3752,1330,0,94,0,1236,1510666.666
2015,3814,1388,0,113,0,1275,1398900.623
2016,3692,1353,0,78,0,1275,1254768.9849999999
2017,3633,1342,0,78,0,1264,1474661.9489999998
2018,3632,1339,0,73,0,1266,1720965.8154999998
2019,3629,1388,0,91,0,1297,1462307.525
2020,3603,1440,0,119,0,1321,1199429.3369999998
2021,4121,1588,0,199,0,1389,1874457.764999999
2022,4445,1635,0,183,0,1452,1172776.979
2023,4210,1505,0,92,0,1413,1488592.9719999998
2024,3949,1423,0,44,0,1379,1724140.7070000002
