year,exits,prev_n,turnover_rate,flag
1976,115,1252,0.09185303514376997,
1977,81,1204,0.06727574750830564,
1978,99,1202,0.08236272878535773,
1979,121,1197,0.1010860484544695,
1980,102,1164,0.08762886597938144,
1981,126,1172,0.1075085324232082,
1982,131,1168,0.11215753424657535,
1983,128,1136,0.11267605633802817,
1984,107,1130,0.09469026548672567,
1985,119,1145,0.10393013100436681,
1986,132,1193,0.11064543168482817,
1987,150,1261,0.11895321173671689,
1988,137,1213,0.11294311624072548,
1989,151,1204,0.12541528239202657,
1990,127,1158,0.10967184801381692,
1991,117,1178,0.09932088285229201,
1992,99,1186,0.08347386172006746,
1993,114,1208,0.09437086092715231,
1994,62,1232,0.05032467532467533,
1995,116,1346,0.0861812778603269,
1996,170,1446,0.11756569847856155,
1997,197,1500,0.13133333333333333,
1998,265,1500,0.17666666666666667,
1999,239,1473,0.16225390359809913,
2000,322,1500,0.21466666666666667,
2001,278,1497,0.18570474281897129,
2002,287,1483,0.1935266351989211,
2003,128,1334,0.095952023988006,
2004,147,1348,0.10905044510385757,
2005,167,1328,0.12575301204819278,
2006,175,1263,0.13855898653998416,
2007,152,1241,0.12248186946011282,
2008,177,1187,0.14911541701769165,
2009,132,1201,0.10990840965861781,
2010,128,1228,0.10423452768729642,
2011,125,1225,0.10204081632653061,
2012,92,1191,0.07724601175482787,
2013,116,1233,0.09407948094079481,
2014,88,1217,0.07230895645028759,
2015,104,1233,0.08434712084347121,
2016,137,1269,0.10795902285263988,
2017,139,1275,0.10901960784313726,
2018,115,1261,0.09119746233148295,
2019,105,1260,0.08333333333333333,
2020,116,1297,0.08943716268311488,
2021,113,1321,0.08554125662376987,
2022,119,1386,0.08585858585858586,
2023,182,1452,0.12534435261707988,
2024,157,1410,0.11134751773049645,
